Node List,Node Source
H2AX,c2.cp.wikipathways.v2023.2.Hs.symbols
KRT1,c2.cp.wikipathways.v2023.2.Hs.symbols
CASP4,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF2AK2,c2.cp.wikipathways.v2023.2.Hs.symbols
PDGFRA,c2.cp.wikipathways.v2023.2.Hs.symbols
TXNRD1,c2.cp.wikipathways.v2023.2.Hs.symbols
FASLG,c2.cp.wikipathways.v2023.2.Hs.symbols
SOD2,c2.cp.wikipathways.v2023.2.Hs.symbols
ATG5,c2.cp.wikipathways.v2023.2.Hs.symbols
CASP8,c2.cp.wikipathways.v2023.2.Hs.symbols
CTNNB1,c2.cp.wikipathways.v2023.2.Hs.symbols
KRT14,c2.cp.wikipathways.v2023.2.Hs.symbols
AP3S1,c2.cp.wikipathways.v2023.2.Hs.symbols
TOP2A,c2.cp.wikipathways.v2023.2.Hs.symbols
FADD,c2.cp.wikipathways.v2023.2.Hs.symbols
IFNG,c2.cp.wikipathways.v2023.2.Hs.symbols
ILK,c2.cp.wikipathways.v2023.2.Hs.symbols
MST1,c2.cp.wikipathways.v2023.2.Hs.symbols
TRADD,c2.cp.wikipathways.v2023.2.Hs.symbols
MKI67,c2.cp.wikipathways.v2023.2.Hs.symbols
TXN,c2.cp.wikipathways.v2023.2.Hs.symbols
CD1A,c2.cp.wikipathways.v2023.2.Hs.symbols
MIR17,c2.cp.wikipathways.v2023.2.Hs.symbols
HLA-DRB1,c2.cp.wikipathways.v2023.2.Hs.symbols
PTPA,c2.cp.wikipathways.v2023.2.Hs.symbols
ERN1,c2.cp.wikipathways.v2023.2.Hs.symbols
SOX2,c2.cp.wikipathways.v2023.2.Hs.symbols
PIK3CD,c2.cp.wikipathways.v2023.2.Hs.symbols
MAPK3,c2.cp.wikipathways.v2023.2.Hs.symbols
CASP9,c2.cp.wikipathways.v2023.2.Hs.symbols
PIK3R1,c2.cp.wikipathways.v2023.2.Hs.symbols
PARP1,c2.cp.wikipathways.v2023.2.Hs.symbols
CD44,c2.cp.wikipathways.v2023.2.Hs.symbols
CCND1,c2.cp.wikipathways.v2023.2.Hs.symbols
SIGMAR1,c2.cp.wikipathways.v2023.2.Hs.symbols
DDIT3,c2.cp.wikipathways.v2023.2.Hs.symbols
BAX,c2.cp.wikipathways.v2023.2.Hs.symbols
PDIA3,c2.cp.wikipathways.v2023.2.Hs.symbols
PRKAA1,c2.cp.wikipathways.v2023.2.Hs.symbols
AK1,c2.cp.wikipathways.v2023.2.Hs.symbols
HOXA9,c2.cp.wikipathways.v2023.2.Hs.symbols
MMP3,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF2S1,c2.cp.wikipathways.v2023.2.Hs.symbols
MAPKAPK2,c2.cp.wikipathways.v2023.2.Hs.symbols
ATF4,c2.cp.wikipathways.v2023.2.Hs.symbols
CCS,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF4EBP1,c2.cp.wikipathways.v2023.2.Hs.symbols
BIRC5,c2.cp.wikipathways.v2023.2.Hs.symbols
CDC25A,c2.cp.wikipathways.v2023.2.Hs.symbols
MICB,c2.cp.wikipathways.v2023.2.Hs.symbols
PTPRC,c2.cp.wikipathways.v2023.2.Hs.symbols
VCAM1,c2.cp.wikipathways.v2023.2.Hs.symbols
FZD1,c2.cp.wikipathways.v2023.2.Hs.symbols
NDRG1,c2.cp.wikipathways.v2023.2.Hs.symbols
PPP2CB,c2.cp.wikipathways.v2023.2.Hs.symbols
IRF2,c2.cp.wikipathways.v2023.2.Hs.symbols
HSP90B1,c2.cp.wikipathways.v2023.2.Hs.symbols
HSPA5,c2.cp.wikipathways.v2023.2.Hs.symbols
ATF2,c2.cp.wikipathways.v2023.2.Hs.symbols
CYP11B2,c2.cp.wikipathways.v2023.2.Hs.symbols
ITGB4,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF2AK3,c2.cp.wikipathways.v2023.2.Hs.symbols
MAPK8,c2.cp.wikipathways.v2023.2.Hs.symbols
BCL2L1,c2.cp.wikipathways.v2023.2.Hs.symbols
BCL2L11,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF4A1,c2.cp.wikipathways.v2023.2.Hs.symbols
ITGA2B,c2.cp.wikipathways.v2023.2.Hs.symbols
KEAP1,c2.cp.wikipathways.v2023.2.Hs.symbols
KRT13,c2.cp.wikipathways.v2023.2.Hs.symbols
EEF1E1,c2.cp.wikipathways.v2023.2.Hs.symbols
MAP1LC3A,c2.cp.wikipathways.v2023.2.Hs.symbols
SF3B1,c2.cp.wikipathways.v2023.2.Hs.symbols
DNPH1,c2.cp.wikipathways.v2023.2.Hs.symbols
TLR3,c2.cp.wikipathways.v2023.2.Hs.symbols
CYCS,c2.cp.wikipathways.v2023.2.Hs.symbols
IL12A,c2.cp.wikipathways.v2023.2.Hs.symbols
CD200,c2.cp.wikipathways.v2023.2.Hs.symbols
FBP1,c2.cp.wikipathways.v2023.2.Hs.symbols
MMP2,c2.cp.wikipathways.v2023.2.Hs.symbols
CD40,c2.cp.wikipathways.v2023.2.Hs.symbols
SQSTM1,c2.cp.wikipathways.v2023.2.Hs.symbols
COL6A2,c2.cp.wikipathways.v2023.2.Hs.symbols
MTOR,c2.cp.wikipathways.v2023.2.Hs.symbols
CCDC25,c2.cp.wikipathways.v2023.2.Hs.symbols
MFN2,c2.cp.wikipathways.v2023.2.Hs.symbols
ODC1,c2.cp.wikipathways.v2023.2.Hs.symbols
GSK3B,c2.cp.wikipathways.v2023.2.Hs.symbols
CHUK,c2.cp.wikipathways.v2023.2.Hs.symbols
CXCL8,c2.cp.wikipathways.v2023.2.Hs.symbols
TXNRD2,c2.cp.wikipathways.v2023.2.Hs.symbols
XBP1,c2.cp.wikipathways.v2023.2.Hs.symbols
MIR221,c2.cp.wikipathways.v2023.2.Hs.symbols
XIAP,c2.cp.wikipathways.v2023.2.Hs.symbols
HLA-C,c2.cp.wikipathways.v2023.2.Hs.symbols
YKT6,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF4E,c2.cp.wikipathways.v2023.2.Hs.symbols
MMP1,c2.cp.wikipathways.v2023.2.Hs.symbols
BCL2,c2.cp.wikipathways.v2023.2.Hs.symbols
STAT3,c2.cp.wikipathways.v2023.2.Hs.symbols
KRT5,c2.cp.wikipathways.v2023.2.Hs.symbols
MME,c2.cp.wikipathways.v2023.2.Hs.symbols
CASP7,c2.cp.wikipathways.v2023.2.Hs.symbols
CDKN2A,c2.cp.wikipathways.v2023.2.Hs.symbols
NOS2,c2.cp.wikipathways.v2023.2.Hs.symbols
ABCB1,c2.cp.wikipathways.v2023.2.Hs.symbols
ADAMTSL4-AS1,c2.cp.wikipathways.v2023.2.Hs.symbols
PTK2,c2.cp.wikipathways.v2023.2.Hs.symbols
CTSB,c2.cp.wikipathways.v2023.2.Hs.symbols
PRKACA,c2.cp.wikipathways.v2023.2.Hs.symbols
HSPB1,c2.cp.wikipathways.v2023.2.Hs.symbols
BAD,c2.cp.wikipathways.v2023.2.Hs.symbols
BRCA2,c2.cp.wikipathways.v2023.2.Hs.symbols
PMAIP1,c2.cp.wikipathways.v2023.2.Hs.symbols
PPP1R15A,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF5A,c2.cp.wikipathways.v2023.2.Hs.symbols
MEIS1,c2.cp.wikipathways.v2023.2.Hs.symbols
ABCG2,c2.cp.wikipathways.v2023.2.Hs.symbols
GPX1,c2.cp.wikipathways.v2023.2.Hs.symbols
PDGFB,c2.cp.wikipathways.v2023.2.Hs.symbols
CDC25C,c2.cp.wikipathways.v2023.2.Hs.symbols
GZMB,c2.cp.wikipathways.v2023.2.Hs.symbols
CREBBP,c2.cp.wikipathways.v2023.2.Hs.symbols
TRAF2,c2.cp.wikipathways.v2023.2.Hs.symbols
S100A2,c2.cp.wikipathways.v2023.2.Hs.symbols
BCL6,c2.cp.wikipathways.v2023.2.Hs.symbols
CASP2,c2.cp.wikipathways.v2023.2.Hs.symbols
TNFRSF10A,c2.cp.wikipathways.v2023.2.Hs.symbols
MAPK10,c2.cp.wikipathways.v2023.2.Hs.symbols
DSTN,c2.cp.wikipathways.v2023.2.Hs.symbols
CENPA,c2.cp.wikipathways.v2023.2.Hs.symbols
CSF2RB,c2.cp.wikipathways.v2023.2.Hs.symbols
RPS6KA1,c2.cp.wikipathways.v2023.2.Hs.symbols
ELK1,c2.cp.wikipathways.v2023.2.Hs.symbols
RPS6KB2,c2.cp.wikipathways.v2023.2.Hs.symbols
