Gene_Hugo_ID,Gene_Name,Role,Cancer_ID,Cancer_Name,TCGA_based_Cancer_Type
HGNC:3537,F2R,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3495,ETV6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3493,ETV4,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3473,ESRRB,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3386,EPHA2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3367,ENTPD5,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3321,ELK1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3311,SERPINB1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:32594,PREX1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:31104,MYO18A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:30809,TRIB2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3061,DTYMK,Driver,DOID:10283,prostate cancer,Prostate
HGNC:30402,SENP7,Driver,DOID:10283,prostate cancer,Prostate
HGNC:30238,WLS,Driver,DOID:10283,prostate cancer,Prostate
HGNC:30142,GDF15,Driver,DOID:10283,prostate cancer,Prostate
HGNC:29884,UBASH3B,Driver,DOID:10283,prostate cancer,Prostate
HGNC:29529,TBL1XR1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:29149,PHLPP2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:2909,DLL3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:29079,KDM1A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:26636,ZBTB38,Driver,DOID:10283,prostate cancer,Prostate
HGNC:2553,CUL3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:2527,CTSB,Driver,DOID:10283,prostate cancer,Prostate
HGNC:24948,DOT1L,Driver,DOID:10283,prostate cancer,Prostate
HGNC:24884,OXER1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:24682,FLVCR1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:23692,ACKR3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:23537,DHTKD1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:23533,TCERG1L,Driver,DOID:10283,prostate cancer,Prostate
HGNC:2345,CREB1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:23315,FOXB2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:23077,OTUB1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:2227,COMP,Driver,DOID:10283,prostate cancer,Prostate
HGNC:20811,ZNF433,Driver,DOID:10283,prostate cancer,Prostate
HGNC:20672,PHF8,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1874,CFL1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:18607,SLC39A6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:18585,MSI2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1851,CENPA,Driver,DOID:10283,prostate cancer,Prostate
HGNC:18282,PBK,Driver,DOID:10283,prostate cancer,Prostate
HGNC:18254,HES6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:18126,ZNRF3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:17927,SENP1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:17885,STEAP2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:17257,SPDEF,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1723,CDC20,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1681,CD44,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16743,SHC4,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16432,AZIN1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16384,TRIM28,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16290,TRIM33,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16059,PAK4,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1605,CCR4,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16049,PTGES3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:15983,WNT3A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:15937,UBE2C,Driver,DOID:10283,prostate cancer,Prostate
HGNC:15867,YTHDF1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1582,CCND1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:15633,TLR9,Driver,DOID:10283,prostate cancer,Prostate
HGNC:15513,SMYD3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1514,CASR,Driver,DOID:10283,prostate cancer,Prostate
HGNC:14934,SIRT6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:14931,SIRT3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1470,CAMKK2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:14065,HDAC9,Driver,DOID:10283,prostate cancer,Prostate
HGNC:13427,RBMS3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:13339,KIF4A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:13238,APMAP,Driver,DOID:10283,prostate cancer,Prostate
HGNC:12856,YY1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:12680,VEGFA,Driver,DOID:10283,prostate cancer,Prostate
HGNC:12327,TROAP,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11841,TLK1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11812,TRIM24,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11774,TGFBR3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11730,TERT,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11602,TBX3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11597,TBX2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11582,TBCE,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11425,STS,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11393,AURKA,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11364,STAT3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11283,SRC,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11270,SPRY2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11244,SPINK1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11200,SOX4,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11180,SOD2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11128,SNAI1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11114,KDM5C,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10980,SLC25A10,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10961,SLCO1B3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1090,DST,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10848,SHH,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10769,SF3B2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10734,SEMA4F,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1073,BMP6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10725,SEMA3C,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1066,BMI1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10647,CX3CL1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10472,RUNX2,Driver,DOID:10283,prostate cancer,Prostate
