Node List,Source
PDE4A,Oncogene_CancerMine
PDE10A,Oncogene_CancerMine
PDCD4,Oncogene_CancerMine
PCNA,Oncogene_CancerMine
SLC45A3,Oncogene_CancerMine
KAT2B,Oncogene_CancerMine
PBX3,Oncogene_CancerMine
PRKN,Oncogene_CancerMine
NUMB,Oncogene_CancerMine
NTSR1,Oncogene_CancerMine
NTN3,Oncogene_CancerMine
NTN1,Oncogene_CancerMine
HMGN5,Oncogene_CancerMine
NRBP1,Oncogene_CancerMine
NOTCH4,Oncogene_CancerMine
NOTCH1,Oncogene_CancerMine
NFATC1,Oncogene_CancerMine
NEDD9,Oncogene_CancerMine
ABL2,Oncogene_CancerMine
NCOR2,Oncogene_CancerMine
MXI1,Oncogene_CancerMine
MT2A,Oncogene_CancerMine
KMT2D,Oncogene_CancerMine
KMT2A,Oncogene_CancerMine
MKI67,Oncogene_CancerMine
MITF,Oncogene_CancerMine
MIF,Oncogene_CancerMine
ARPC5,Oncogene_CancerMine
MEIS1,Oncogene_CancerMine
MAPK10,Oncogene_CancerMine
MAPK1,Oncogene_CancerMine
MAP2K4,Oncogene_CancerMine
MAF,Oncogene_CancerMine
LTF,Oncogene_CancerMine
RND3,Oncogene_CancerMine
LPL,Oncogene_CancerMine
RHOA,Oncogene_CancerMine
LOXL1,Oncogene_CancerMine
LIF,Oncogene_CancerMine
LCP1,Oncogene_CancerMine
KCNK9,Oncogene_CancerMine
ITGB5,Oncogene_CancerMine
ITGB1,Oncogene_CancerMine
ITGA6,Oncogene_CancerMine
ITGA5,Oncogene_CancerMine
INSR,Oncogene_CancerMine
INPP4B,Oncogene_CancerMine
ILK,Oncogene_CancerMine
IL7R,Oncogene_CancerMine
IGFBP5,Oncogene_CancerMine
IFNA1,Oncogene_CancerMine
ICMT,Oncogene_CancerMine
IBSP,Oncogene_CancerMine
TNC,Oncogene_CancerMine
HTR2B,Oncogene_CancerMine
HNRNPK,Oncogene_CancerMine
HNRNPA2B1,Oncogene_CancerMine
HMMR,Oncogene_CancerMine
HMGCR,Oncogene_CancerMine
HIPK3,Oncogene_CancerMine
HIF1A,Oncogene_CancerMine
ANG,Oncogene_CancerMine
GSTM3,Oncogene_CancerMine
CXCL3,Oncogene_CancerMine
CXCL1,Oncogene_CancerMine
GPT,Oncogene_CancerMine
GPI,Oncogene_CancerMine
RACK1,Oncogene_CancerMine
ALOX5,Oncogene_CancerMine
GLI2,Oncogene_CancerMine
GCNT1,Oncogene_CancerMine
KAT2A,Oncogene_CancerMine
GBX2,Oncogene_CancerMine
PAGE4,Oncogene_CancerMine
G6PD,Oncogene_CancerMine
FZD7,Oncogene_CancerMine
FZD5,Oncogene_CancerMine
FYN,Oncogene_CancerMine
ABCB1,Oncogene_CancerMine
FTH1,Oncogene_CancerMine
FRAT1,Oncogene_CancerMine
AKT3,Oncogene_CancerMine
AKR1C2,Oncogene_CancerMine
FOXF1,Oncogene_CancerMine
FOXC1,Oncogene_CancerMine
FOLH1,Oncogene_CancerMine
FMOD,Oncogene_CancerMine
FLI1,Oncogene_CancerMine
AKAP13,Oncogene_CancerMine
FGFR1,Oncogene_CancerMine
FGF8,Oncogene_CancerMine
FGF7,Oncogene_CancerMine
FGD1,Oncogene_CancerMine
FDPS,Oncogene_CancerMine
FBP1,Oncogene_CancerMine
ACSL4,Oncogene_CancerMine
FABP5,Oncogene_CancerMine
ESRRA,Oncogene_CancerMine
ESR2,Oncogene_CancerMine
NPS,Oncogene_CancerMine
EPHA1,Oncogene_CancerMine
EPAS1,Oncogene_CancerMine
EP300,Oncogene_CancerMine
ENO1,Oncogene_CancerMine
EN2,Oncogene_CancerMine
ELF3,Oncogene_CancerMine
EIF5A2,Oncogene_CancerMine
EIF5A,Oncogene_CancerMine
EIF4A1,Oncogene_CancerMine
EIF3B,Oncogene_CancerMine
AGR2,Oncogene_CancerMine
EIF3H,Oncogene_CancerMine
EIF2AK3,Oncogene_CancerMine
EFNA1,Oncogene_CancerMine
LIN28B,Oncogene_CancerMine
E2F1,Oncogene_CancerMine
HUWE1,Oncogene_CancerMine
PNPLA2,Oncogene_CancerMine
DUSP8,Oncogene_CancerMine
DSG2,Oncogene_CancerMine
G3BP2,Oncogene_CancerMine
NAMPT,Oncogene_CancerMine
DPP4,Oncogene_CancerMine
UBAP2L,Oncogene_CancerMine
MUS81,Oncogene_CancerMine
MSMP,Oncogene_CancerMine
MLPH,Oncogene_CancerMine
NOB1,Oncogene_CancerMine
ERGIC1,Oncogene_CancerMine
WDTC1,Oncogene_CancerMine
SIK3,Oncogene_CancerMine
PHLPP2,Oncogene_CancerMine
KDM1A,Oncogene_CancerMine
TRIM66,Oncogene_CancerMine
GRK3,Oncogene_CancerMine
PCLAF,Oncogene_CancerMine
DKC1,Oncogene_CancerMine
C17orf49,Oncogene_CancerMine
AKT1S1,Oncogene_CancerMine
STAC3,Oncogene_CancerMine
DDX5,Oncogene_CancerMine
DDX3X,Oncogene_CancerMine
DCN,Oncogene_CancerMine
PARP1,Oncogene_CancerMine
DAD1,Oncogene_CancerMine
VWCE,Oncogene_CancerMine
CAMKMT,Oncogene_CancerMine
TUG1,Oncogene_CancerMine
PUS7,Oncogene_CancerMine
CYP1A1,Oncogene_CancerMine
ORAI1,Oncogene_CancerMine
