Node List,Node Source
RAPGEFL1,h.all.v2023.2.Hs.symbols
SLC27A2,h.all.v2023.2.Hs.symbols
MICB,h.all.v2023.2.Hs.symbols
RPS6KA2,h.all.v2023.2.Hs.symbols
SLC19A2,h.all.v2023.2.Hs.symbols
OVOL2,h.all.v2023.2.Hs.symbols
KLK10,h.all.v2023.2.Hs.symbols
MED13L,h.all.v2023.2.Hs.symbols
TMPRSS3,h.all.v2023.2.Hs.symbols
SLC26A2,h.all.v2023.2.Hs.symbols
SLC7A2,h.all.v2023.2.Hs.symbols
TMEM164,h.all.v2023.2.Hs.symbols
MREG,h.all.v2023.2.Hs.symbols
P2RY2,h.all.v2023.2.Hs.symbols
RHOD,h.all.v2023.2.Hs.symbols
FHL2,h.all.v2023.2.Hs.symbols
FCMR,h.all.v2023.2.Hs.symbols
DEPTOR,h.all.v2023.2.Hs.symbols
SH3BP5,h.all.v2023.2.Hs.symbols
INHBB,h.all.v2023.2.Hs.symbols
THSD4,h.all.v2023.2.Hs.symbols
CCND1,h.all.v2023.2.Hs.symbols
FOXC1,h.all.v2023.2.Hs.symbols
LRIG1,h.all.v2023.2.Hs.symbols
OLFML3,h.all.v2023.2.Hs.symbols
TOB1,h.all.v2023.2.Hs.symbols
TTC39A,h.all.v2023.2.Hs.symbols
RASGRP1,h.all.v2023.2.Hs.symbols
SNX24,h.all.v2023.2.Hs.symbols
UNC119,h.all.v2023.2.Hs.symbols
ENDOD1,h.all.v2023.2.Hs.symbols
BCL2,h.all.v2023.2.Hs.symbols
AFF1,h.all.v2023.2.Hs.symbols
MINDY1,h.all.v2023.2.Hs.symbols
AKAP1,h.all.v2023.2.Hs.symbols
ELF1,h.all.v2023.2.Hs.symbols
FDFT1,h.all.v2023.2.Hs.symbols
IGF1R,h.all.v2023.2.Hs.symbols
KRT15,h.all.v2023.2.Hs.symbols
MUC1,h.all.v2023.2.Hs.symbols
NPY1R,h.all.v2023.2.Hs.symbols
MED24,h.all.v2023.2.Hs.symbols
ADD3,h.all.v2023.2.Hs.symbols
MAPT,h.all.v2023.2.Hs.symbols
TGIF2,h.all.v2023.2.Hs.symbols
KRT8,h.all.v2023.2.Hs.symbols
CBFA2T3,h.all.v2023.2.Hs.symbols
TGM2,h.all.v2023.2.Hs.symbols
OLFM1,h.all.v2023.2.Hs.symbols
JAK2,h.all.v2023.2.Hs.symbols
SLC7A5,h.all.v2023.2.Hs.symbols
FASN,h.all.v2023.2.Hs.symbols
KCNK15,h.all.v2023.2.Hs.symbols
KRT13,h.all.v2023.2.Hs.symbols
AREG,h.all.v2023.2.Hs.symbols
ARL3,h.all.v2023.2.Hs.symbols
IL6ST,h.all.v2023.2.Hs.symbols
ESRP2,h.all.v2023.2.Hs.symbols
LAD1,h.all.v2023.2.Hs.symbols
BLVRB,h.all.v2023.2.Hs.symbols
KRT18,h.all.v2023.2.Hs.symbols
MPPED2,h.all.v2023.2.Hs.symbols
NADSYN1,h.all.v2023.2.Hs.symbols
PRSS23,h.all.v2023.2.Hs.symbols
KAZN,h.all.v2023.2.Hs.symbols
RARA,h.all.v2023.2.Hs.symbols
BCL11B,h.all.v2023.2.Hs.symbols
SLC22A5,h.all.v2023.2.Hs.symbols
SLC39A6,h.all.v2023.2.Hs.symbols
CELSR2,h.all.v2023.2.Hs.symbols
PAPSS2,h.all.v2023.2.Hs.symbols
RET,h.all.v2023.2.Hs.symbols
DLC1,h.all.v2023.2.Hs.symbols
SCARB1,h.all.v2023.2.Hs.symbols
HR,h.all.v2023.2.Hs.symbols
KRT19,h.all.v2023.2.Hs.symbols
GAB2,h.all.v2023.2.Hs.symbols
SLC1A1,h.all.v2023.2.Hs.symbols
CYP26B1,h.all.v2023.2.Hs.symbols
PDLIM3,h.all.v2023.2.Hs.symbols
TJP3,h.all.v2023.2.Hs.symbols
ALDH3B1,h.all.v2023.2.Hs.symbols
CXCL12,h.all.v2023.2.Hs.symbols
ABAT,h.all.v2023.2.Hs.symbols
SULT2B1,h.all.v2023.2.Hs.symbols
MLPH,h.all.v2023.2.Hs.symbols
ASB13,h.all.v2023.2.Hs.symbols
INPP5F,h.all.v2023.2.Hs.symbols
PDZK1,h.all.v2023.2.Hs.symbols
ABLIM1,h.all.v2023.2.Hs.symbols
SYT12,h.all.v2023.2.Hs.symbols
ELF3,h.all.v2023.2.Hs.symbols
FOS,h.all.v2023.2.Hs.symbols
WWC1,h.all.v2023.2.Hs.symbols
SIAH2,h.all.v2023.2.Hs.symbols
SYBU,h.all.v2023.2.Hs.symbols
WFS1,h.all.v2023.2.Hs.symbols
GLA,h.all.v2023.2.Hs.symbols
REEP1,h.all.v2023.2.Hs.symbols
RAB31,h.all.v2023.2.Hs.symbols
TFAP2C,h.all.v2023.2.Hs.symbols
TUBB2B,h.all.v2023.2.Hs.symbols
SOX3,h.all.v2023.2.Hs.symbols
CLIC3,h.all.v2023.2.Hs.symbols
HSPB8,h.all.v2023.2.Hs.symbols
GFRA1,h.all.v2023.2.Hs.symbols
DYNLT3,h.all.v2023.2.Hs.symbols
ITPK1,h.all.v2023.2.Hs.symbols
PODXL,h.all.v2023.2.Hs.symbols
AQP3,h.all.v2023.2.Hs.symbols
ABCA1,h.all.v2023.2.Hs.symbols
PMEPA1,h.all.v2023.2.Hs.symbols
PLK2,h.all.v2023.2.Hs.symbols
DUSP1,h.all.v2023.2.Hs.symbols
GADD45A,h.all.v2023.2.Hs.symbols
MAP3K8,h.all.v2023.2.Hs.symbols
CD83,h.all.v2023.2.Hs.symbols
NFAT5,h.all.v2023.2.Hs.symbols
ICAM1,h.all.v2023.2.Hs.symbols
PER1,h.all.v2023.2.Hs.symbols
BCL3,h.all.v2023.2.Hs.symbols
TNIP1,h.all.v2023.2.Hs.symbols
SERPINE1,h.all.v2023.2.Hs.symbols
SOCS3,h.all.v2023.2.Hs.symbols
TRIP10,h.all.v2023.2.Hs.symbols
PTGER4,h.all.v2023.2.Hs.symbols
IL6,h.all.v2023.2.Hs.symbols
CCL2,h.all.v2023.2.Hs.symbols
SAT1,h.all.v2023.2.Hs.symbols
FOSB,h.all.v2023.2.Hs.symbols
IFIT2,h.all.v2023.2.Hs.symbols
SQSTM1,h.all.v2023.2.Hs.symbols
GPR183,h.all.v2023.2.Hs.symbols
ZC3H12A,h.all.v2023.2.Hs.symbols
CD69,h.all.v2023.2.Hs.symbols
