Node List,Node Source
SNRPB,h.all.v2023.2.Hs.symbols
ESPL1,h.all.v2023.2.Hs.symbols
ING3,h.all.v2023.2.Hs.symbols
ASF1A,h.all.v2023.2.Hs.symbols
DONSON,h.all.v2023.2.Hs.symbols
IPO7,h.all.v2023.2.Hs.symbols
RRM2,h.all.v2023.2.Hs.symbols
PA2G4,h.all.v2023.2.Hs.symbols
EXOSC8,h.all.v2023.2.Hs.symbols
RANBP1,h.all.v2023.2.Hs.symbols
SMC1A,h.all.v2023.2.Hs.symbols
KIF18B,h.all.v2023.2.Hs.symbols
SMC6,h.all.v2023.2.Hs.symbols
CENPE,h.all.v2023.2.Hs.symbols
NME1,h.all.v2023.2.Hs.symbols
TFRC,h.all.v2023.2.Hs.symbols
DLGAP5,h.all.v2023.2.Hs.symbols
RBBP7,h.all.v2023.2.Hs.symbols
ORC6,h.all.v2023.2.Hs.symbols
IDUA,h.all.v2023.2.Hs.symbols
ZNF112,h.all.v2023.2.Hs.symbols
FGF22,h.all.v2023.2.Hs.symbols
KLK8,h.all.v2023.2.Hs.symbols
IFNG,h.all.v2023.2.Hs.symbols
IFI44L,h.all.v2023.2.Hs.symbols
BRDT,h.all.v2023.2.Hs.symbols
MTHFR,h.all.v2023.2.Hs.symbols
GPRC5C,h.all.v2023.2.Hs.symbols
TAS2R4,h.all.v2023.2.Hs.symbols
TGFB2,h.all.v2023.2.Hs.symbols
NR6A1,h.all.v2023.2.Hs.symbols
SPTBN2,h.all.v2023.2.Hs.symbols
ZBTB16,h.all.v2023.2.Hs.symbols
CPB1,h.all.v2023.2.Hs.symbols
SNN,h.all.v2023.2.Hs.symbols
PKP1,h.all.v2023.2.Hs.symbols
KRT4,h.all.v2023.2.Hs.symbols
CDH16,h.all.v2023.2.Hs.symbols
ATP4A,h.all.v2023.2.Hs.symbols
CNTFR,h.all.v2023.2.Hs.symbols
HTR1D,h.all.v2023.2.Hs.symbols
GPR19,h.all.v2023.2.Hs.symbols
PCDHB1,h.all.v2023.2.Hs.symbols
PRKN,h.all.v2023.2.Hs.symbols
GDNF,h.all.v2023.2.Hs.symbols
KMT2D,h.all.v2023.2.Hs.symbols
ENTPD7,h.all.v2023.2.Hs.symbols
HSD11B2,h.all.v2023.2.Hs.symbols
TFCP2L1,h.all.v2023.2.Hs.symbols
SHOX2,h.all.v2023.2.Hs.symbols
MFSD6,h.all.v2023.2.Hs.symbols
PRODH,h.all.v2023.2.Hs.symbols
EGF,h.all.v2023.2.Hs.symbols
TCF7L1,h.all.v2023.2.Hs.symbols
UGT2B17,h.all.v2023.2.Hs.symbols
TLX1,h.all.v2023.2.Hs.symbols
CCDC106,h.all.v2023.2.Hs.symbols
ITGB1BP2,h.all.v2023.2.Hs.symbols
TGM1,h.all.v2023.2.Hs.symbols
CCR8,h.all.v2023.2.Hs.symbols
NTF3,h.all.v2023.2.Hs.symbols
BMPR1B,h.all.v2023.2.Hs.symbols
CLPS,h.all.v2023.2.Hs.symbols
IRS4,h.all.v2023.2.Hs.symbols
KRT5,h.all.v2023.2.Hs.symbols
ZC2HC1C,h.all.v2023.2.Hs.symbols
AMBN,h.all.v2023.2.Hs.symbols
CLSTN3,h.all.v2023.2.Hs.symbols
IL5,h.all.v2023.2.Hs.symbols
NPY4R,h.all.v2023.2.Hs.symbols
SLC6A14,h.all.v2023.2.Hs.symbols
MX1,h.all.v2023.2.Hs.symbols
UPK3B,h.all.v2023.2.Hs.symbols
STAG3,h.all.v2023.2.Hs.symbols
RSAD2,h.all.v2023.2.Hs.symbols
TFF2,h.all.v2023.2.Hs.symbols
SNCB,h.all.v2023.2.Hs.symbols
SELENOP,h.all.v2023.2.Hs.symbols
VPREB1,h.all.v2023.2.Hs.symbols
YBX2,h.all.v2023.2.Hs.symbols
CPA2,h.all.v2023.2.Hs.symbols
SERPINB2,h.all.v2023.2.Hs.symbols
PTGFR,h.all.v2023.2.Hs.symbols
VPS50,h.all.v2023.2.Hs.symbols
SGK1,h.all.v2023.2.Hs.symbols
SPRR3,h.all.v2023.2.Hs.symbols
CD207,h.all.v2023.2.Hs.symbols
SLC25A23,h.all.v2023.2.Hs.symbols
KCNMB1,h.all.v2023.2.Hs.symbols
MYOT,h.all.v2023.2.Hs.symbols
C5,h.all.v2023.2.Hs.symbols
CKM,h.all.v2023.2.Hs.symbols
SYNPO,h.all.v2023.2.Hs.symbols
P2RX6,h.all.v2023.2.Hs.symbols
ARPP21,h.all.v2023.2.Hs.symbols
GAMT,h.all.v2023.2.Hs.symbols
KRT1,h.all.v2023.2.Hs.symbols
ARHGDIG,h.all.v2023.2.Hs.symbols
RYR1,h.all.v2023.2.Hs.symbols
CDKAL1,h.all.v2023.2.Hs.symbols
LFNG,h.all.v2023.2.Hs.symbols
CYP11B2,h.all.v2023.2.Hs.symbols
DTNB,h.all.v2023.2.Hs.symbols
SCGB1A1,h.all.v2023.2.Hs.symbols
KCNE2,h.all.v2023.2.Hs.symbols
CAPN9,h.all.v2023.2.Hs.symbols
RGS11,h.all.v2023.2.Hs.symbols
CCNA1,h.all.v2023.2.Hs.symbols
IL12B,h.all.v2023.2.Hs.symbols
HTR1B,h.all.v2023.2.Hs.symbols
MYO15A,h.all.v2023.2.Hs.symbols
AKR1B10,h.all.v2023.2.Hs.symbols
CACNA1F,h.all.v2023.2.Hs.symbols
EDAR,h.all.v2023.2.Hs.symbols
SPHK2,h.all.v2023.2.Hs.symbols
TCL1A,h.all.v2023.2.Hs.symbols
TFAP2B,h.all.v2023.2.Hs.symbols
FGFR3,h.all.v2023.2.Hs.symbols
PTPRJ,h.all.v2023.2.Hs.symbols
