Node List,Source
DDX5,GDC_Mutational_Frequency
HLF,GDC_Mutational_Frequency
CARS1,GDC_Mutational_Frequency
PRRX1,GDC_Mutational_Frequency
NR4A3,GDC_Mutational_Frequency
CSF3R,GDC_Mutational_Frequency
HIP1,GDC_Mutational_Frequency
SMO,GDC_Mutational_Frequency
CDC73,GDC_Mutational_Frequency
ETV6,GDC_Mutational_Frequency
VAV1,GDC_Mutational_Frequency
ABL2,GDC_Mutational_Frequency
EML4,GDC_Mutational_Frequency
RPL10,GDC_Mutational_Frequency
ERG,GDC_Mutational_Frequency
RBM15,GDC_Mutational_Frequency
IL7R,GDC_Mutational_Frequency
EWSR1,GDC_Mutational_Frequency
NUTM1,GDC_Mutational_Frequency
SNX29,GDC_Mutational_Frequency
ELN,GDC_Mutational_Frequency
RHOA,GDC_Mutational_Frequency
PRKACA,GDC_Mutational_Frequency
NFKB2,GDC_Mutational_Frequency
ARAF,GDC_Mutational_Frequency
CYLD,GDC_Mutational_Frequency
HIF1A,GDC_Mutational_Frequency
ELF4,GDC_Mutational_Frequency
IKBKB,GDC_Mutational_Frequency
ARHGEF10,GDC_Mutational_Frequency
CBL,GDC_Mutational_Frequency
GLI1,GDC_Mutational_Frequency
BCL6,GDC_Mutational_Frequency
USP6,GDC_Mutational_Frequency
LATS1,GDC_Mutational_Frequency
USP8,GDC_Mutational_Frequency
BCL10,GDC_Mutational_Frequency
TPM3,GDC_Mutational_Frequency
A1CF,GDC_Mutational_Frequency
EXT2,GDC_Mutational_Frequency
BRAF,GDC_Mutational_Frequency
FGFR4,GDC_Mutational_Frequency
RECQL4,GDC_Mutational_Frequency
ATP1A1,GDC_Mutational_Frequency
TGFBR2,GDC_Mutational_Frequency
FCRL4,GDC_Mutational_Frequency
TSHR,GDC_Mutational_Frequency
TSC1,GDC_Mutational_Frequency
AXIN2,GDC_Mutational_Frequency
KIF5B,GDC_Mutational_Frequency
CNBD1,GDC_Mutational_Frequency
PER1,GDC_Mutational_Frequency
FES,GDC_Mutational_Frequency
BTK,GDC_Mutational_Frequency
RABEP1,GDC_Mutational_Frequency
TP63,GDC_Mutational_Frequency
MLH1,GDC_Mutational_Frequency
NSD2,GDC_Mutational_Frequency
RPL22,GDC_Mutational_Frequency
SPOP,GDC_Mutational_Frequency
FLT3,GDC_Mutational_Frequency
RPL5,GDC_Mutational_Frequency
HNRNPA2B1,GDC_Mutational_Frequency
STIL,GDC_Mutational_Frequency
TRAF7,GDC_Mutational_Frequency
PPARG,GDC_Mutational_Frequency
TEC,GDC_Mutational_Frequency
PAX3,GDC_Mutational_Frequency
FBXO11,GDC_Mutational_Frequency
LRIG3,GDC_Mutational_Frequency
NTRK3,GDC_Mutational_Frequency
CDH11,GDC_Mutational_Frequency
ARNT,GDC_Mutational_Frequency
ACKR3,GDC_Mutational_Frequency
GPC3,GDC_Mutational_Frequency
TCF7L2,GDC_Mutational_Frequency
SLC34A2,GDC_Mutational_Frequency
SKI,GDC_Mutational_Frequency
TERT,GDC_Mutational_Frequency
RAD21,GDC_Mutational_Frequency
STAT5B,GDC_Mutational_Frequency
HRAS,GDC_Mutational_Frequency
SUZ12,GDC_Mutational_Frequency
CIITA,GDC_Mutational_Frequency
CSF1R,GDC_Mutational_Frequency
RBM10,GDC_Mutational_Frequency
CHEK2,GDC_Mutational_Frequency
FOXO4,GDC_Mutational_Frequency
IKZF1,GDC_Mutational_Frequency
SIRPA,GDC_Mutational_Frequency
NTRK1,GDC_Mutational_Frequency
CTNND1,GDC_Mutational_Frequency
MDM4,GDC_Mutational_Frequency
TOP1,GDC_Mutational_Frequency
DAXX,GDC_Mutational_Frequency
FLT4,GDC_Mutational_Frequency
SMARCD1,GDC_Mutational_Frequency
SDHA,GDC_Mutational_Frequency
DNM2,GDC_Mutational_Frequency
HSP90AA1,GDC_Mutational_Frequency
FUS,GDC_Mutational_Frequency
MSH2,GDC_Mutational_Frequency
NBN,GDC_Mutational_Frequency
ERCC2,GDC_Mutational_Frequency
PRKAR1A,GDC_Mutational_Frequency
PPFIBP1,GDC_Mutational_Frequency
PRPF40B,GDC_Mutational_Frequency
NFE2L2,GDC_Mutational_Frequency
FOXO3,GDC_Mutational_Frequency
BCL11A,GDC_Mutational_Frequency
DGCR8,GDC_Mutational_Frequency
SPECC1,GDC_Mutational_Frequency
RARA,GDC_Mutational_Frequency
IDH1,GDC_Mutational_Frequency
PRDM16,GDC_Mutational_Frequency
RAD17,GDC_Mutational_Frequency
SLC45A3,GDC_Mutational_Frequency
FUBP1,GDC_Mutational_Frequency
ERCC3,GDC_Mutational_Frequency
GMPS,GDC_Mutational_Frequency
EBF1,GDC_Mutational_Frequency
ACSL6,GDC_Mutational_Frequency
HEY1,GDC_Mutational_Frequency
SMAD3,GDC_Mutational_Frequency
CTNNB1,GDC_Mutational_Frequency
CHST11,GDC_Mutational_Frequency
SMAD2,GDC_Mutational_Frequency
JUN,GDC_Mutational_Frequency
DDX10,GDC_Mutational_Frequency
ZNRF3,GDC_Mutational_Frequency
MUC1,GDC_Mutational_Frequency
SRGAP3,GDC_Mutational_Frequency
NACA,GDC_Mutational_Frequency
SND1,GDC_Mutational_Frequency
DCAF12L2,GDC_Mutational_Frequency
FANCG,GDC_Mutational_Frequency
LASP1,GDC_Mutational_Frequency
PAX7,GDC_Mutational_Frequency
POLD1,GDC_Mutational_Frequency
PABPC1,GDC_Mutational_Frequency
EIF3E,GDC_Mutational_Frequency
AKT2,GDC_Mutational_Frequency
ELL,GDC_Mutational_Frequency
ZBTB16,GDC_Mutational_Frequency
CCND3,GDC_Mutational_Frequency
TFG,GDC_Mutational_Frequency
STRN,GDC_Mutational_Frequency
CXCR4,GDC_Mutational_Frequency
SEPTIN6,GDC_Mutational_Frequency
PAX8,GDC_Mutational_Frequency
ZNF384,GDC_Mutational_Frequency
CBFA2T3,GDC_Mutational_Frequency
RAF1,GDC_Mutational_Frequency
HNF1A,GDC_Mutational_Frequency
MDM2,GDC_Mutational_Frequency
LCP1,GDC_Mutational_Frequency
KAT7,GDC_Mutational_Frequency
KLF4,GDC_Mutational_Frequency
MYC,GDC_Mutational_Frequency
CRTC3,GDC_Mutational_Frequency
SS18,GDC_Mutational_Frequency
PRCC,GDC_Mutational_Frequency
FIP1L1,GDC_Mutational_Frequency
NFKBIE,GDC_Mutational_Frequency
RSPO2,GDC_Mutational_Frequency
FLI1,GDC_Mutational_Frequency
MSI2,GDC_Mutational_Frequency
FAM131B,GDC_Mutational_Frequency
REL,GDC_Mutational_Frequency
SYK,GDC_Mutational_Frequency
KLK2,GDC_Mutational_Frequency
MAP2K1,GDC_Mutational_Frequency
ASPSCR1,GDC_Mutational_Frequency
GATA2,GDC_Mutational_Frequency
MB21D2,GDC_Mutational_Frequency
PRF1,GDC_Mutational_Frequency
LCK,GDC_Mutational_Frequency
MACC1,GDC_Mutational_Frequency
SEPTIN9,GDC_Mutational_Frequency
ZNF479,GDC_Mutational_Frequency
SHTN1,GDC_Mutational_Frequency
PAX5,GDC_Mutational_Frequency
MRTFA,GDC_Mutational_Frequency
NCKIPSD,GDC_Mutational_Frequency
ETV5,GDC_Mutational_Frequency
MLLT6,GDC_Mutational_Frequency
CD79B,GDC_Mutational_Frequency
BIRC3,GDC_Mutational_Frequency
FAS,GDC_Mutational_Frequency
BCLAF1,GDC_Mutational_Frequency
ZCCHC8,GDC_Mutational_Frequency
GOPC,GDC_Mutational_Frequency
BCL3,GDC_Mutational_Frequency
TCF3,GDC_Mutational_Frequency
FCGR2B,GDC_Mutational_Frequency
SMARCE1,GDC_Mutational_Frequency
PICALM,GDC_Mutational_Frequency
EED,GDC_Mutational_Frequency
NT5C2,GDC_Mutational_Frequency
PATZ1,GDC_Mutational_Frequency
CCNB1IP1,GDC_Mutational_Frequency
GATA1,GDC_Mutational_Frequency
NDRG1,GDC_Mutational_Frequency
EZH2,GDC_Mutational_Frequency
CPEB3,GDC_Mutational_Frequency
PHOX2B,GDC_Mutational_Frequency
CHIC2,GDC_Mutational_Frequency
DDX6,GDC_Mutational_Frequency
BMP5,GDC_Mutational_Frequency
SGK1,GDC_Mutational_Frequency
SET,GDC_Mutational_Frequency
PPP6C,GDC_Mutational_Frequency
FKBP9,GDC_Mutational_Frequency
CCR7,GDC_Mutational_Frequency
ABI1,GDC_Mutational_Frequency
CYP2C8,GDC_Mutational_Frequency
BARD1,GDC_Mutational_Frequency
RAP1GDS1,GDC_Mutational_Frequency
ETNK1,GDC_Mutational_Frequency
SETD1B,GDC_Mutational_Frequency
PML,GDC_Mutational_Frequency
BRD4,GDC_Mutational_Frequency
NFIB,GDC_Mutational_Frequency
CDKN2A,GDC_Mutational_Frequency
LATS2,GDC_Mutational_Frequency
BUB1B,GDC_Mutational_Frequency
FANCC,GDC_Mutational_Frequency
LMNA,GDC_Mutational_Frequency
SRSF2,GDC_Mutational_Frequency
MN1,GDC_Mutational_Frequency
PPM1D,GDC_Mutational_Frequency
GPHN,GDC_Mutational_Frequency
SOX2,GDC_Mutational_Frequency
P2RY8,GDC_Mutational_Frequency
SEPTIN5,GDC_Mutational_Frequency
PBX1,GDC_Mutational_Frequency
BCR,GDC_Mutational_Frequency
MITF,GDC_Mutational_Frequency
SRC,GDC_Mutational_Frequency
ECT2L,GDC_Mutational_Frequency
LSM14A,GDC_Mutational_Frequency
HOXA11,GDC_Mutational_Frequency
GAS7,GDC_Mutational_Frequency
GOLGA5,GDC_Mutational_Frequency
KLF6,GDC_Mutational_Frequency
TFRC,GDC_Mutational_Frequency
BAX,GDC_Mutational_Frequency
GNA11,GDC_Mutational_Frequency
FH,GDC_Mutational_Frequency
EZR,GDC_Mutational_Frequency
TFPT,GDC_Mutational_Frequency
CDK6,GDC_Mutational_Frequency
SFRP4,GDC_Mutational_Frequency
SUFU,GDC_Mutational_Frequency
SH2B3,GDC_Mutational_Frequency
FANCE,GDC_Mutational_Frequency
SFPQ,GDC_Mutational_Frequency
STK11,GDC_Mutational_Frequency
ATF1,GDC_Mutational_Frequency
ACSL3,GDC_Mutational_Frequency
DEK,GDC_Mutational_Frequency
MAX,GDC_Mutational_Frequency
SBDS,GDC_Mutational_Frequency
SIX1,GDC_Mutational_Frequency
DNAJB1,GDC_Mutational_Frequency
MUTYH,GDC_Mutational_Frequency
MYCN,GDC_Mutational_Frequency
